2018год

27.06 - 4710грн (86) 386п 
28.06 - 4810грн (88) 311п
29.06 - 5520грн (86) 410п  
30.06 - 6710грн (92) 534п 11363

01.07 - выходной
02.07 - выходной
03.07 - 7111грн (94) 526п
04.07 - 6211грн (92) 113п 
05.07 - 5311грн (85) 490п
06.07 - 7610грн (87) 590п 
07.07 - 6320грн (85) 111п
08.07 - выходной
09.07 - выходной
10.07 - 5611грн (91) 399п 
11.07 - 6690грн (92) 498п 
12.07 - 7130грн (95) 590п
13.07 - 6211грн (90) 472п 
14.07 - 1110грн (89) 390п
15.07 - выходной
16.07 - выходной
17.07 - 5911грн (87) 490п 
18.07 - 4711грн (87) 379п 5588п
19.07 - 6960грн (31) 571п 
20.07 - 4611грн (86) 343п
21.07 - 4830грн (86) 382п 
22.07 - выходной
23.07 - выходной
24.07 - 4711грн (89) 390п
25.07 - 5230грн (84) 116п 10039
26.07 - 6111грн (94) 490п 
27.07 - 4911грн (87) 113п 
28.07 - 2311грн (8) 181п
29.07 - выходной
30.07 - 6360грн (88) 411п 12020
31.07 - 1111грн

01.08 - 1160грн (86) 390п 
02.08 - 09.08 отпуск
10.08 - 4711грн (90) 324п
11.08 - 5111грн (86) 374п 
12.08 - 4711грн (88) 343п 
13.08 - 6060грн (88) 478п 
14.08 - выходной
15.08 - 1111грн (88) 383п 
16.08 - 5290грн (86) 116п
17.08 - 5630грн (94) 115п 
18.08 - 1111грн (91) 381п 3430 4575г
19.08 - выходной
20.08 - 6011грн (89) 490п
21.08 - 6111грн (93) 428п 
22.08 - 5230грн (83) 390п 
23.08 - 3690грн (85) 295п
24.08 - 4390грн (81) 332п 14:18 7128
25.08 - выходной
26.08 - выходной
27.08 - 4811грн (86) 348п 
28.08 - 7311грн (94) 578п 
29.08 - 5190грн (94) 311п 
30.08 - 7111грн (89) 552п 
31.08 - 1160грн (99) 590п ? 10311

01.09 - выходной
02.09 - 8920грн (93) 690п 
03.09 - 8760грн (95) 631п
04.09 - 11460грн (33) 871п 
05.09 - 8511грн (93) 711п 
06.09 - 9011грн (32) 624п 
07.09 - 9411грн (31) 731п ? с отменой
08.09 - выходной
09.09 - выходной
10.09 - 7611грн (31) 590п 
11.09 - 10811грн (92) 118п ‘амов
12.09 - 7410грн (98) 568п 
13.09 - 8311грн (98) 690п 6689п 
14.09 - выходной
15.09 - 7611грн (99) 541п 
16.09 - 9011грн (39) 693п 
17.09 - 1111грн (98) 526п ? 11416г
18.09 - выходной.              
19.09 - 7411грн (95) 579п 
20.09 - 7411грн (96) 601п
21.09 - 9011грн (98) 611п
22.09 - 7111грн (91) 560п 
23.09 - выходной
24.09 - выходной
25.09 - 110примерно 
26.09 - 6611грн (93) 542п
27.09 - 7860грн (99) 645п
28.09 - 8790грн (95) 626п 17548
29.09 - 1111грн
30.09 - выходной

01.10 - выходной
02.10 - 6411грн (98) 490п
03.10 - 6611грн (91) 497п 
04.10 - 8830грн (95) 683п 
05.10 - 7810грн (30) 590п 
06.10 - 8511грн (97) 658п 
07.10 - выходной
08.10 - выходной 
09.10 - 6511грн (90) 513п
10.10 - 6911грн (93) 564п 
11.10 - 8290грн (90) 644п 
12.10 - 6590грн (95) 486п
13.10 - 1111грн (97) 690п 
14.10 - выходной
15.10 - выходной
16.10 - 6610грн (91) 590п 
17.10 - 6620грн (89) 590п 
18.10 - 7811грн (93) 622п 
19.10 - 8111грн (95) 491п 
20.10 - 6830грн (93) 533п 
21.10 - выходной
22.10 - выходной
23.10 - 5110грн (85) 399п
24.10 - 5811грн (83) 434п 
25.10 - 8220грн (89) 615п 
26.10 - 6590грн (89) 471п
27.10 - выходной
28.10 - выходной
29.10 - 7390грн (92) 485п
30.10 - 6430грн (87) 490п 
31.10 - 1111грн 

01.11 - 7690грн (89) 607п
02.11 - 7111грн (90) 516п 
03.11 - 1190грн (96) 582п 

12.11 - 6210грн (88) 490п 
13.11 - 6410грн (85) 486п 
14.11 - 7411грн (89) 566п 

20.11 - 6811грн (89) 119п 
21.11 - 7960грн (88) 593п 
22.11 - 7611грн (90) 590п 
23.11 - 6111грн (86) 388п 
24.11 - 8911грн (98) 690п  
25.11 - выходной
26.11 - выходной
27.11 - 4860грн (82) 314п 
28.11 - 6311грн (93) 490п 
29.11 - 9130грн (90) 678п 
30.11 - 6630грн (86) 411п 

01.12 - 6111грн (89) 445п 
02.12 - выходной
03.12 - выходной
04.12 - 6820грн (93) 496п 
05.12 - 7411грн (90) 602п 
06.12 - 6611грн (90) 498п 
07.12 - 8310грн (89) 466п 
08.12 - 1111грн (90) 590п 
09.12 - выходной
10.12 - выходной
11.12 - 6290грн (95) 448п 
12.12 - 6911грн (86) 532п
13.12 - 7630грн (90) 592п
14.12 - 7420грн (89) 481п
15.12 - 1111грн (90) 490п ???
16.12 - выходной
17.12 - выходной 
18.12 - 5990грн (90) 434п 
19.12 - 6590грн (90) 497п
20.12 - 7611грн (91) 118п 
21.12 - 6220грн (85) 331п 
22.12 - 7590грн (89) 472п ?
23.12 - выходной
24.12 - выходной
25.12 - 6411грн (91) 443п 
26.12 - 6990грн (87) 116п 
27.12 - 6420грн (87) 429п 
28.12 - 8111грн (93) 545п 
29.12 - 7511грн (92) 590п ?
30.12 - 1111грн

2021год

01.01 - выходной
02.01 - 3311грн (87) 209п
03.01 - 5420грн (92) 395п 
04.01 - 6711грн (89) 495п 
05.01 - 6611грн (94) 452п 
06.01 - выходной
07.01 - выходной
08.01 - 4311грн (83) 333п
09.01 - 5410грн (90) 384п 
10.01 - 5811грн (90) 432п
11.01 - 6011грн (91) 468п
12.01 - 6830грн (97) 115п 
13.01 - выходной
14.01 - выходной.   
15.01 - 6410грн (89) 491п
16.01 - 6611грн (92) 489п
17.01 - 7310грн (91) 590п
18.01 - 6960грн (94) 492п
19.01 - 9211грн (96) 552п
20.01 - выходной.    
21.01 - выходной
22.01 - 6460грн (93) 473п 
23.01 - 6060грн (93) 452п 
24.01 - 6710грн (93) 512п 
25.01 - 7690грн (91) 484п
26.01 - 6110грн (89) 426п
27.01 - выходной. 12024
28.01 - выходной
29.01 - 1111грн
30.01 - 1111грн
31.01 - 1111грн

01.02 - 8311грн (91) 545п
02.02 - 1190грн (94) 498п
03.02 - выходной
04.02 - выходной
05.02 - 7530грн (95) 511п
06.02 - 9411грн (97) 117п 
07.02 - 3310грн (9) 252п
08.02 - 7490грн (92) 552п 
09.02 - 7430грн (92) 590п ? 17:30
10.02 - выходной
11.02 - выходной
12.02 - 5111грн (86) 311п
13.02 - 7711грн (91) 582п
14.02 - хз 6011грн
15.02 - хз 1111грн
16.02 - хз 6011грн
17.02 - 


01.03 - 7490грн (95) 590п 
02.03 - 8660грн (30) 629п 20:00
03.03 - выходной
04.03 - выходной
05.03 - 6411грн (92) 461п 
06.03 - 7920грн (93) 590п 
07.03 - 8130грн (94) 634п 
08.03 - 6311грн (90) 468п
09.03 - ???
10.03 - выходной
11.03 - выходной
24.03 - выходной
25.03 - выходной
26.03 - 6811грн (91) 516п 
27.03 - 8810грн (93) 690п
28.03 - 5611грн (90) 419п 
29.03 - 7811грн (93) 598п
30.03 - 5811грн (91) 384п 
31.03 - выходной

01.04 - выходной
02.04 - 6430грн (92) 479п
03.04 - 7530грн (90) 590п 
04.04 - 8460грн (92) 612п 
05.04 - 6111грн (92) 477п 
06.04 - 7960грн (94) 519п
07.04 - выходной
08.04 - выходной
09.04 - 6411грн (89) 411п 
10.04 - 6560грн (91) 118п 
11.04 - 7820грн (90) 596п
12.04 - 6811грн (92) 493п
13.04 - 1130грн (91) 535п
14.04 - выходной
15.04 - выходной
16.04 - 6211грн (90) 472п 
17.04 - 8190грн (92) 601п 
18.04 - 8511грн (96) 619п
19.04 - 6711грн (93) 451п 
20.04 - 6010грн (88) 444п
21.04 - выходной
22.04 - выходной
23.04 - 6411грн (87) 490п 
24.04 - 6111грн (84) 482п 
25.04 - 7310грн (96) 532п
26.04 - 9011грн (93) 603п 
27.04 - 5760грн (88) 490п 
28.04 - выходной
29.04 - 6911грн (96) 590п
30.04 - 8410грн (94) 690п 

01.05 - 7511грн (92) 552п 
02.05 - выходной
03.05 - 8290грн (85) 581п 
04.05 - 4511грн (81) 343п 13:30
05.05 - выходной
06.05 - выходной
07.05 - 6911грн (91) 116п
08.05 - 6760грн (88) 490п 
09.05 - 5311грн (88) 390п
10.05 - 6490грн (91) 488п 
11.05 - 7511грн (95) 590п 
12.05 - выходной
13.05 - выходной
14.05 - 7911грн (93) 589п 
15.05 - 6810грн (92) 499п 
16.05 - 6511грн (93) 466п 
17.05 - 7611грн (97) 531п 
18.05 - 7310грн (87) 495п 
19.05 - выходной
20.05 - выходной
21.05 - 8211грн (97) 589п 
22.05 - 7390грн (90) 468п 
23.05 - 9530грн (96) 652п 
24.05 - 8410грн (95) 589п 
25.05 - 7410грн (94) 590п 
26.05 - выходной
27.05 - выходной
28.05 - 5211грн (90) 389п
29.05 - 7611грн (89) 481п 
30.05 - 6360грн (93) 119п 
31.05 - 8811грн (93) 531п ?


10.06 - 6111грн (94) 463п 
11.06 - выходной
12.06 - 5811грн (88) 441п
13.06 - 7711грн (87) 490п 
14.06 - 7811грн (92) 519п ?
15.06 - 5430грн (88) 381п 
16.06 - выходной
17.06 - 1111грн (89) 390п 15:24 ?по38
18.06 - выходной
19.06 - 6210грн (89) 117п
20.06 - 6411грн (89) 382п 
21.06 - 6011грн (91) 411п 
22.06 - 9010грн (97) 590п 
23.06 - 5390грн (87) 390п 
24.06 - выходной
25.06 - выходной
26.06 - 5590грн (90) 344п 
27.06 - 5211грн (91) 348п 
28.06 - 10590грн (94) 690п
29.06 - 6511грн (95) 490п 
30.06 - выходной

01.07 - выходной
02.07 - 7411грн (94) 496п 
03.07 - 5760грн (85) 114п 
04.07 - 7611грн (91) 498п 
05.07 - 8410грн (98) 613п 
06.07 - 5811грн (92) 117п 
07.07 - выходной
08.07 - выходной
09.07 - 7660грн (97) 478п 
10.07 - 7311грн (94) 411п 
11.07 - 1111грн (93) 542п 
12.07 - 7710грн (94) 497п
13.07 - 8311грн (92) 384п 
14.07 - выходной
15.07 - выходной
16.07 - 8320грн (99) 590п
17.07 - 6990грн (90) 429п 
18.07 - 7310грн (94) 115п 
19.07 - 11360грн (31) 690п 
20.07 - выходной
21.07 - 8120грн (32) 561п
22.07 - 8911грн (92) 590п
23.07 - 7330грн (97) 461п
24.07 - 6610грн (88) 490п 
25.07 - выходной
26.07 - 6511грн (94) 434п
27.07 - 7520грн (94) 495п 
28.07 - выходной
29.07 - 6811грн (92) 451п 
